First Name,Last Name,Email,Postal Code,Net Worth,Years with Bank
Bird ,Steve,bird@gmail.com,N94 3M0,5000,5
Noah,Small,nsmall@hotmail.com,N8S 14K,10000,6
Nina,Keller,azikez@gahew.mr,S1T 4E6,9072.02,7
Chanel ,Steve,chanel@gmail.com,N7T 3E6,11072.02,10
Kate,Noor,kate@hotmail.com,K8N 5H6,5000,22
Samer,Mo,samer@gmail.com,J7H 3HY,100000,26
Heba,Ismail,heba.ismail@hotmail.com,K8Y 3M8,50000,11
Laila,Ahmed,Laila.a@hotmail.com,J8Y 3M0,20000,3
Joseph,Patton,daafeja@boh.jm,M6U 5U7,2629.13,1
Noah,Moran,guutodi@bigwoc.kw,K2D 4M9,8626.96,13
